comprimento de onda (nm),(1) 2.5-2.5,(1) 2.5-5,(1) 2.5-10,(2) 2.5-10,(2) 5-10,(2) 10-10,(2) 15-10,(3) 10-2.5,(3) 10-5,(3) 10-10,(3) 10-15,(3) 10-20,(4) 5-2.5,(4) 5-5,(4) 5-10,(5) 15-2.5,(5) 15-5,(5) 15-10
316.5,0,0,2,2.0781,1.7608,1.7841,1.6148,0.1677,0.4886,1.7841,2.3343,11.9535,0,0.4124,1.8768,0.0879,0.4001,1.6148
317,0,0,2,2.038,1.7979,1.7823,1.7045,0.1685,0.5018,1.7823,2.9224,16.2837,0,0.4481,1.9247,0.0717,0.398,1.7045
317.5,0,0,2,2.2503,1.8495,1.7615,1.7569,0.1581,0.5093,1.7615,3.3509,21.674,0,0.4653,1.9683,0.0719,0.402,1.7569
318,0,0,2,2.2496,1.8975,1.7068,1.7478,0.1616,0.5194,1.7068,4.0866,25.8627,0,0.4721,1.9939,0.0841,0.4032,1.7478
318.5,0,0,2,2.342,1.9371,1.6231,1.8051,0.1683,0.5188,1.6231,4.7848,32.7597,0,0.4656,2.0366,0.0827,0.4004,1.8051
319,0,0,2,2.4633,1.9614,1.6452,2.1582,0.1713,0.5132,1.6452,6.6133,41.4867,0,0.448,2.0377,0.0682,0.4031,2.1582
319.5,0,0,2,2.4099,1.9953,1.7243,2.6452,0.1722,0.5175,1.7243,9.0971,52.127,0,0.4117,2.0628,0.0736,0.4063,2.6452
320,0,0,2,2.5278,2.0175,1.7128,3.1493,0.182,0.5199,1.7128,12.1667,64.3959,0,0.3716,2.0919,0.0872,0.4034,3.1493
320.5,0,0,2,2.6271,2.0219,1.7551,3.7995,0.1867,0.5288,1.7551,15.733,76.0886,0,0.3255,2.093,0.072,0.3913,3.7995
321,0.1293,1,2.5348,2.7582,1.9738,1.7284,4.4871,0.1622,0.5362,1.7284,19.3912,91.3908,0,0.3996,1.9988,0.07,0.3873,4.4871
321.5,-0.5174,1,2,2.7897,1.9365,2.1338,5.7857,0.1491,0.533,2.1338,24.564,109.212,-0.0237,0.4346,1.9454,0.0781,0.4194,5.7857
322,-1,1,2,2.8865,1.8071,2.7749,7.4539,0.1614,0.5356,2.7749,31.7567,129.0554,0.0946,0.4693,1.7875,0.0852,0.4515,7.4539
322.5,-1,1,2,2.7457,1.6262,3.5316,9.4928,0.1888,0.5464,3.5316,40.5924,150.6367,0.1341,0.4855,1.6074,0.0878,0.4917,9.4928
323,0,1,2,2.4834,1.2942,4.4328,11.6804,0.1908,0.5464,4.4328,48.4831,174.7686,0.0946,0.4843,1.3332,0.0993,0.5683,11.6804
323.5,0,1,2,1.9783,0.6293,5.4271,14.1173,0.1775,0.5314,5.4271,60.1931,202.5498,-0.0237,0.4828,0.7131,0.1159,0.6864,14.1173
324,0,1,1,1.5127,0.1087,7.2841,17.4495,0.1708,0.5203,7.2841,74.3571,233.553,0,0.46,0.3288,0.1287,0.9681,17.4495
324.5,0,0,1,1.0557,0.0846,10.2602,22.0088,0.1693,0.5466,10.2602,90.4278,267.3555,-0.0075,0.4256,0.3762,0.1507,1.3125,22.0088
325,0,0,0,0.674,0.6423,14.122,27.5152,0.184,0.5684,14.122,108.5402,303.5384,0.0152,0.354,0.9912,0.1791,1.7829,27.5152
325.5,0,0,0,-0.0299,1.4101,18.6659,33.639,0.1846,0.6134,18.6659,129.3298,341.701,0.0806,0.3438,1.4892,0.2539,2.2961,33.639
326,0,0,-2,-1.8914,2.0387,23.7208,40.1796,0.1826,0.6596,23.7208,151.691,381.4251,0.2036,0.4796,1.9854,0.3155,2.9453,40.1796
326.5,0,0,-2,-1.5773,4.3769,30.5814,48.2461,0.1755,0.9267,30.5814,176.3376,422.3146,0.1778,0.5555,4.2836,0.4248,3.9688,48.2461
327,0,0,-1,-0.5661,8.0248,38.9321,57.5192,0.173,1.477,38.9321,202.4278,463.9354,0.0735,0.628,7.6879,0.5076,5.4774,57.5192
327.5,0,1,2,2.6722,13.2024,48.5912,67.652,0.1825,2.2963,48.5912,231.3761,505.957,-0.0221,0.7295,13.0397,0.6324,7.2473,67.652
328,0,1,5,8.5117,20.5844,60.4125,79.0584,0.2626,3.3419,60.4125,262.8285,548.1112,0,0.8028,20.3121,0.8368,9.1986,79.0584
328.5,0,1,14,16.99,29.9004,73.7643,91.6491,0.4101,4.5576,73.7643,296.5326,589.9244,0,0.8359,29.7702,1.1729,11.3294,91.6491
329,0,1,28,29.0756,42.8111,89.6217,105.8583,0.5538,6.6419,89.6217,332.5734,631.0518,0,0.8779,42.7794,1.4736,14.1187,105.8583
329.5,0,1,45,43.7259,57.9557,106.5832,120.3974,0.6942,9.2897,106.5832,372.321,671.1247,0,0.9413,57.7558,1.7196,17.2011,120.3974
330,0,1,65,63.1266,76.9591,125.9626,136.2002,1.0876,12.6235,125.9626,414.8355,710.0257,0,0.9596,76.775,2.0172,20.4931,136.2002
330.5,0,0,92,88.3352,100.6396,148.5005,153.6837,1.9042,16.6888,148.5005,459.5276,747.266,0,1.4019,100.3327,2.4772,23.9855,153.6837
331,-0.1335,1,123,116.6424,128.1617,172.8436,172.3467,2.7677,21.2682,172.8436,505.8962,782.6632,-0.0317,2.086,127.5386,3.0079,27.5471,172.3467
331.5,0.5342,1,156,148.4998,159.6016,198.9394,191.8422,3.5161,26.9105,198.9394,553.0248,816.3391,0.0909,3.6834,158.0286,3.4419,31.6647,191.8422
332,1,1,196,185.9187,194.0701,227.1333,212.0808,4.477,33.0869,227.1333,599.6845,847.7697,0.2769,5.8069,192.6012,3.9183,36.0404,212.0808
