comp,int (ex 250 vidro),int (ex 250 plast),int (ex 300 vidro),int (ex 300 plast)
493,9.7677,3.7259,5.2088,6.8435
493.5,9.725,3.7421,5.1585,6.7801
494,9.7308,3.7451,5.133,6.7343
494.5,9.6786,3.782,5.0538,6.6951
495,9.5466,3.7163,5.0466,6.7233
495.5,9.505,3.7352,4.9847,6.732
496,9.4465,3.7215,4.919,6.727
496.5,9.3475,3.7661,4.8834,6.7324
497,9.1869,3.7633,4.8495,6.7374
497.5,8.9838,3.738,4.8053,6.7654
498,8.8531,3.7783,4.7703,6.8155
498.5,8.7341,3.8676,4.7401,6.8636
499,8.632,3.8872,4.7312,6.9235
499.5,8.529,3.8703,4.7181,6.9788
500,8.4131,3.8542,4.7153,7.0289
500.5,8.3158,3.8883,4.7005,7.048
501,8.2286,3.8238,4.7209,7.0605
501.5,8.175,3.798,4.7284,7.0637
502,8.1055,3.8229,4.7136,7.0724
502.5,8.08,3.9332,4.7408,7.0722
503,8.0095,3.9884,4.686,7.0732
